Simulation	Fifth_Percentile	Avg_H_e
Simulation 11	0.149172278	0.330546495898725
Simulation 2	0.153297812265	0.340628693008099
Simulation 9	0.1570092512	0.33488139702118
Simulation 18	0.16091548109	0.340350135677415
Simulation 6	0.1628317038	0.343159122547175
Simulation 17	0.175258796184	0.334948722388194
Simulation 12	0.18135930001	0.349326010303525
Simulation 7	0.183753945785983	0.344012090114801
Simulation 20	0.185027783929	0.342904478824349
Simulation 14	0.188622385	0.350657284347362
Simulation 1	0.189214950826667	0.338601658737282
Simulation 13	0.192923849655	0.361974197299767
Simulation 4	0.19650161597	0.354013367136527
Simulation 8	0.19957542384	0.355331732155634
Simulation 19	0.214854054	0.354819007715817
Simulation 15	0.21637755272	0.356419613099614
Simulation 16	0.21680636433	0.355670549523082
Simulation 10	0.224079865465714	0.363256186557592
Simulation 3	0.22723483575	0.363210910196483
Simulation 5	0.23806979736	0.375813691817946
