Simulation	Fifth_Percentile	Avg_H_e
Simulation 4	0.113774310311667	0.30448449916172
Simulation 19	0.140699868930909	0.331919073170943
Simulation 18	0.153077772533333	0.324445521885519
Simulation 14	0.162835637066667	0.328390284262023
Simulation 7	0.17056717827	0.32700219462484
Simulation 2	0.1715550368125	0.328074873615164
Simulation 8	0.171659692835	0.326369242255319
Simulation 15	0.173899061727778	0.341251933279786
Simulation 5	0.174899755404167	0.339514940790675
Simulation 16	0.176771317585	0.336413411207003
Simulation 13	0.1768226124	0.341268023989664
Simulation 1	0.178177075973333	0.327346243114421
Simulation 20	0.180036202954286	0.328742672616245
Simulation 11	0.18009583713	0.340289184268272
Simulation 6	0.183573573546667	0.342131190407108
Simulation 9	0.184986099061	0.330912368339238
Simulation 10	0.191746752366667	0.334688893137329
Simulation 12	0.19431562895	0.346552658023172
Simulation 3	0.198882232283333	0.344129215611578
Simulation 17	0.20551954547	0.341622885643914
