Sim_name	Avg_He
sim_1_selection_model_s08_chr3	0.344775701388889
sim_2_selection_model_s08_chr3	NA
sim_3_selection_model_s08_chr3	0.110096428571429
sim_4_selection_model_s08_chr3	0.0940975
sim_5_selection_model_s08_chr3	0.134175
sim_6_selection_model_s08_chr3	0.373834201388889
sim_7_selection_model_s08_chr3	0.0601329985119048
sim_8_selection_model_s08_chr3	0.0534875
sim_9_selection_model_s08_chr3	0.07949375
sim_10_selection_model_s08_chr3	0.0657925
sim_11_selection_model_s08_chr3	0.0685645833333333
sim_12_selection_model_s08_chr3	0.03280287109375
sim_13_selection_model_s08_chr3	0.0974670454545454
sim_14_selection_model_s08_chr3	0.349759409194529
sim_15_selection_model_s08_chr3	0.439328316102757
sim_16_selection_model_s08_chr3	0.0932022807017544
sim_17_selection_model_s08_chr3	0.32595
sim_18_selection_model_s08_chr3	NA
sim_19_selection_model_s08_chr3	0.0904875
sim_20_selection_model_s08_chr3	0.21875
