Simulation	Fifth_Percentile	Avg_H_e
Simulation 4	0.0370452584	0.207305055988666
Simulation 18	0.0515580129501714	0.225603281807136
Simulation 19	0.05758495086	0.239609449733777
Simulation 13	0.0598981772163333	0.23072735630459
Simulation 15	0.0628933309883333	0.243604031049699
Simulation 7	0.0669902260571429	0.238009516360229
Simulation 2	0.07198334076	0.248358254198334
Simulation 20	0.0748472497914286	0.238437445482399
Simulation 12	0.078191924071	0.239626074003457
Simulation 16	0.08212753136	0.252131413097257
Simulation 8	0.08258173512	0.243097214162336
Simulation 11	0.0826113214267455	0.241026874906112
Simulation 17	0.0827775500423077	0.253868236675174
Simulation 14	0.0832967991146667	0.242383095133575
Simulation 3	0.0924023977885714	0.249129568275248
Simulation 6	0.0926302720383333	0.250942172033275
Simulation 5	0.0931392265028572	0.25091238808635
Simulation 9	0.09458544432	0.252881489796942
Simulation 1	0.107064727033333	0.254227265239965
Simulation 10	0.110869673751429	0.263320842067903
