#Simulation name	Length (bp)
sim_10_selection_model_s08_chr3	3600000
sim_11_selection_model_s08_chr3	4400000
sim_12_selection_model_s08_chr3	8500000
sim_13_selection_model_s08_chr3	3500000
sim_14_selection_model_s08_chr3	5500000
sim_15_selection_model_s08_chr3	4800000
sim_16_selection_model_s08_chr3	4400000
sim_17_selection_model_s08_chr3	1300000
sim_18_selection_model_s08_chr3	2700000
sim_19_selection_model_s08_chr3	3800000
sim_1_selection_model_s08_chr3	3600000
sim_20_selection_model_s08_chr3	6e+05
sim_2_selection_model_s08_chr3	4100000
sim_3_selection_model_s08_chr3	6900000
sim_4_selection_model_s08_chr3	3e+06
sim_5_selection_model_s08_chr3	1300000
sim_6_selection_model_s08_chr3	1300000
sim_7_selection_model_s08_chr3	3900000
sim_8_selection_model_s08_chr3	8400000
sim_9_selection_model_s08_chr3	3600000
