Sim_name	Avg_He
sim_1_selection_model_s07_chr3	0.4364
sim_2_selection_model_s07_chr3	0.457577272727273
sim_3_selection_model_s07_chr3	0.4928
sim_4_selection_model_s07_chr3	0.482017391304348
sim_5_selection_model_s07_chr3	0.3076
sim_6_selection_model_s07_chr3	0.378684593837535
sim_7_selection_model_s07_chr3	0.405914285714286
sim_8_selection_model_s07_chr3	0.216260869565217
sim_9_selection_model_s07_chr3	0.4334
sim_10_selection_model_s07_chr3	0.203804
sim_11_selection_model_s07_chr3	0.417186666666667
sim_12_selection_model_s07_chr3	0.334382083333333
sim_13_selection_model_s07_chr3	0.1879
sim_14_selection_model_s07_chr3	0.316261666666667
sim_15_selection_model_s07_chr3	0.372243821756149
sim_16_selection_model_s07_chr3	0.1638
sim_17_selection_model_s07_chr3	0.347895322580645
sim_18_selection_model_s07_chr3	0.162
sim_19_selection_model_s07_chr3	0.2575
sim_20_selection_model_s07_chr3	0.387746212121212
