CHR	POS	COUNT	FREQUENCY	Length_Mb	Hotspot_interval
3	49600001	370	1	4	[49600001,53600000]
3	49700001	370	1	4	[49600001,53600000]
3	49800001	370	1	4	[49600001,53600000]
3	49900001	370	1	4	[49600001,53600000]
3	50000001	370	1	4	[49600001,53600000]
3	50100001	370	1	4	[49600001,53600000]
3	50200001	370	1	4	[49600001,53600000]
3	50300001	370	1	4	[49600001,53600000]
3	50400001	370	1	4	[49600001,53600000]
3	50500001	370	1	4	[49600001,53600000]
3	50600001	370	1	4	[49600001,53600000]
3	50700001	370	1	4	[49600001,53600000]
3	50800001	370	1	4	[49600001,53600000]
3	50900001	370	1	4	[49600001,53600000]
3	51000001	370	1	4	[49600001,53600000]
3	51100001	370	1	4	[49600001,53600000]
3	51200001	370	1	4	[49600001,53600000]
3	51300001	370	1	4	[49600001,53600000]
3	51400001	370	1	4	[49600001,53600000]
3	51500001	370	1	4	[49600001,53600000]
3	51600001	370	1	4	[49600001,53600000]
3	51700001	370	1	4	[49600001,53600000]
3	51800001	370	1	4	[49600001,53600000]
3	51900001	370	1	4	[49600001,53600000]
3	52000001	370	1	4	[49600001,53600000]
3	52100001	333	0.9	4	[49600001,53600000]
3	52200001	330	0.891892	4	[49600001,53600000]
3	52300001	329	0.889189	4	[49600001,53600000]
3	52400001	329	0.889189	4	[49600001,53600000]
3	52500001	370	1	4	[49600001,53600000]
3	52600001	370	1	4	[49600001,53600000]
3	52700001	370	1	4	[49600001,53600000]
3	52800001	370	1	4	[49600001,53600000]
3	52900001	370	1	4	[49600001,53600000]
3	53000001	370	1	4	[49600001,53600000]
3	53100001	370	1	4	[49600001,53600000]
3	53200001	370	1	4	[49600001,53600000]
3	53300001	370	1	4	[49600001,53600000]
3	53400001	370	1	4	[49600001,53600000]
3	53500001	370	1	4	[49600001,53600000]
3	49700000	370	1	4	[49600001,53600000]
3	49800000	370	1	4	[49600001,53600000]
3	49900000	370	1	4	[49600001,53600000]
3	50000000	370	1	4	[49600001,53600000]
3	50100000	370	1	4	[49600001,53600000]
3	50200000	370	1	4	[49600001,53600000]
3	50300000	370	1	4	[49600001,53600000]
3	50400000	370	1	4	[49600001,53600000]
3	50500000	370	1	4	[49600001,53600000]
3	50600000	370	1	4	[49600001,53600000]
3	50700000	370	1	4	[49600001,53600000]
3	50800000	370	1	4	[49600001,53600000]
3	50900000	370	1	4	[49600001,53600000]
3	51000000	370	1	4	[49600001,53600000]
3	51100000	370	1	4	[49600001,53600000]
3	51200000	370	1	4	[49600001,53600000]
3	51300000	370	1	4	[49600001,53600000]
3	51400000	370	1	4	[49600001,53600000]
3	51500000	370	1	4	[49600001,53600000]
3	51600000	370	1	4	[49600001,53600000]
3	51700000	370	1	4	[49600001,53600000]
3	51800000	370	1	4	[49600001,53600000]
3	51900000	370	1	4	[49600001,53600000]
3	52000000	370	1	4	[49600001,53600000]
3	52100000	370	1	4	[49600001,53600000]
3	52200000	333	0.9	4	[49600001,53600000]
3	52300000	330	0.891892	4	[49600001,53600000]
3	52400000	329	0.889189	4	[49600001,53600000]
3	52500000	329	0.889189	4	[49600001,53600000]
3	52600000	370	1	4	[49600001,53600000]
3	52700000	370	1	4	[49600001,53600000]
3	52800000	370	1	4	[49600001,53600000]
3	52900000	370	1	4	[49600001,53600000]
3	53000000	370	1	4	[49600001,53600000]
3	53100000	370	1	4	[49600001,53600000]
3	53200000	370	1	4	[49600001,53600000]
3	53300000	370	1	4	[49600001,53600000]
3	53400000	370	1	4	[49600001,53600000]
3	53500000	370	1	4	[49600001,53600000]
3	53600000	370	1	4	[49600001,53600000]
