CHR	POS	COUNT	FREQUENCY	Length_Mb	Hotspot_interval
3	15700001	370	1	4.2	[15700001,19900000]
3	15800001	370	1	4.2	[15700001,19900000]
3	15900001	370	1	4.2	[15700001,19900000]
3	16000001	370	1	4.2	[15700001,19900000]
3	16100001	370	1	4.2	[15700001,19900000]
3	16200001	370	1	4.2	[15700001,19900000]
3	16300001	370	1	4.2	[15700001,19900000]
3	16400001	370	1	4.2	[15700001,19900000]
3	16500001	370	1	4.2	[15700001,19900000]
3	16600001	370	1	4.2	[15700001,19900000]
3	16700001	370	1	4.2	[15700001,19900000]
3	16800001	370	1	4.2	[15700001,19900000]
3	16900001	370	1	4.2	[15700001,19900000]
3	17000001	370	1	4.2	[15700001,19900000]
3	17100001	370	1	4.2	[15700001,19900000]
3	17200001	370	1	4.2	[15700001,19900000]
3	17300001	370	1	4.2	[15700001,19900000]
3	17400001	370	1	4.2	[15700001,19900000]
3	17500001	370	1	4.2	[15700001,19900000]
3	17600001	370	1	4.2	[15700001,19900000]
3	17700001	370	1	4.2	[15700001,19900000]
3	17800001	370	1	4.2	[15700001,19900000]
3	17900001	370	1	4.2	[15700001,19900000]
3	18000001	370	1	4.2	[15700001,19900000]
3	18100001	370	1	4.2	[15700001,19900000]
3	18200001	370	1	4.2	[15700001,19900000]
3	18300001	370	1	4.2	[15700001,19900000]
3	18400001	370	1	4.2	[15700001,19900000]
3	18500001	370	1	4.2	[15700001,19900000]
3	18600001	370	1	4.2	[15700001,19900000]
3	18700001	370	1	4.2	[15700001,19900000]
3	18800001	370	1	4.2	[15700001,19900000]
3	18900001	370	1	4.2	[15700001,19900000]
3	19000001	370	1	4.2	[15700001,19900000]
3	19100001	370	1	4.2	[15700001,19900000]
3	19200001	370	1	4.2	[15700001,19900000]
3	19300001	370	1	4.2	[15700001,19900000]
3	19400001	370	1	4.2	[15700001,19900000]
3	19500001	370	1	4.2	[15700001,19900000]
3	19600001	370	1	4.2	[15700001,19900000]
3	19700001	370	1	4.2	[15700001,19900000]
3	19800001	370	1	4.2	[15700001,19900000]
3	15800000	370	1	4.2	[15700001,19900000]
3	15900000	370	1	4.2	[15700001,19900000]
3	16000000	370	1	4.2	[15700001,19900000]
3	16100000	370	1	4.2	[15700001,19900000]
3	16200000	370	1	4.2	[15700001,19900000]
3	16300000	370	1	4.2	[15700001,19900000]
3	16400000	370	1	4.2	[15700001,19900000]
3	16500000	370	1	4.2	[15700001,19900000]
3	16600000	370	1	4.2	[15700001,19900000]
3	16700000	370	1	4.2	[15700001,19900000]
3	16800000	370	1	4.2	[15700001,19900000]
3	16900000	370	1	4.2	[15700001,19900000]
3	17000000	370	1	4.2	[15700001,19900000]
3	17100000	370	1	4.2	[15700001,19900000]
3	17200000	370	1	4.2	[15700001,19900000]
3	17300000	370	1	4.2	[15700001,19900000]
3	17400000	370	1	4.2	[15700001,19900000]
3	17500000	370	1	4.2	[15700001,19900000]
3	17600000	370	1	4.2	[15700001,19900000]
3	17700000	370	1	4.2	[15700001,19900000]
3	17800000	370	1	4.2	[15700001,19900000]
3	17900000	370	1	4.2	[15700001,19900000]
3	18000000	370	1	4.2	[15700001,19900000]
3	18100000	370	1	4.2	[15700001,19900000]
3	18200000	370	1	4.2	[15700001,19900000]
3	18300000	370	1	4.2	[15700001,19900000]
3	18400000	370	1	4.2	[15700001,19900000]
3	18500000	370	1	4.2	[15700001,19900000]
3	18600000	370	1	4.2	[15700001,19900000]
3	18700000	370	1	4.2	[15700001,19900000]
3	18800000	370	1	4.2	[15700001,19900000]
3	18900000	370	1	4.2	[15700001,19900000]
3	19000000	370	1	4.2	[15700001,19900000]
3	19100000	370	1	4.2	[15700001,19900000]
3	19200000	370	1	4.2	[15700001,19900000]
3	19300000	370	1	4.2	[15700001,19900000]
3	19400000	370	1	4.2	[15700001,19900000]
3	19500000	370	1	4.2	[15700001,19900000]
3	19600000	370	1	4.2	[15700001,19900000]
3	19700000	370	1	4.2	[15700001,19900000]
3	19800000	370	1	4.2	[15700001,19900000]
3	19900000	370	1	4.2	[15700001,19900000]
