CHR	POS	COUNT	FREQUENCY	Length_Mb	Hotspot_interval
3	16800001	262	0.708108	0.8	[16800001,17600000]
3	16900001	277	0.748649	0.8	[16800001,17600000]
3	17000001	275	0.743243	0.8	[16800001,17600000]
3	17100001	275	0.743243	0.8	[16800001,17600000]
3	17200001	286	0.772973	0.8	[16800001,17600000]
3	17300001	286	0.772973	0.8	[16800001,17600000]
3	17400001	281	0.759459	0.8	[16800001,17600000]
3	17500001	293	0.791892	0.8	[16800001,17600000]
3	52300001	226	0.610811	0.8	[52300001,53100000]
3	52400001	243	0.656757	0.8	[52300001,53100000]
3	52500001	243	0.656757	0.8	[52300001,53100000]
3	52600001	243	0.656757	0.8	[52300001,53100000]
3	52700001	243	0.656757	0.8	[52300001,53100000]
3	52800001	251	0.678378	0.8	[52300001,53100000]
3	52900001	251	0.678378	0.8	[52300001,53100000]
3	53000001	251	0.678378	0.8	[52300001,53100000]
3	16900000	262	0.708108	0.8	[16800001,17600000]
3	17000000	277	0.748649	0.8	[16800001,17600000]
3	17100000	275	0.743243	0.8	[16800001,17600000]
3	17200000	275	0.743243	0.8	[16800001,17600000]
3	17300000	286	0.772973	0.8	[16800001,17600000]
3	17400000	286	0.772973	0.8	[16800001,17600000]
3	17500000	281	0.759459	0.8	[16800001,17600000]
3	17600000	293	0.791892	0.8	[16800001,17600000]
3	52400000	226	0.610811	0.8	[52300001,53100000]
3	52500000	243	0.656757	0.8	[52300001,53100000]
3	52600000	243	0.656757	0.8	[52300001,53100000]
3	52700000	243	0.656757	0.8	[52300001,53100000]
3	52800000	243	0.656757	0.8	[52300001,53100000]
3	52900000	251	0.678378	0.8	[52300001,53100000]
3	53000000	251	0.678378	0.8	[52300001,53100000]
3	53100000	251	0.678378	0.8	[52300001,53100000]
