sim_1_selection_model_s01_chr3	194
sim_2_selection_model_s01_chr3	18
sim_3_selection_model_s01_chr3	42
sim_4_selection_model_s01_chr3	15
sim_5_selection_model_s01_chr3	53
sim_6_selection_model_s01_chr3	108
sim_7_selection_model_s01_chr3	29
sim_8_selection_model_s01_chr3	18
sim_9_selection_model_s01_chr3	21
sim_10_selection_model_s01_chr3	73
sim_11_selection_model_s01_chr3	45
sim_12_selection_model_s01_chr3	212
sim_13_selection_model_s01_chr3	6
sim_14_selection_model_s01_chr3	19
sim_15_selection_model_s01_chr3	106
sim_16_selection_model_s01_chr3	73
sim_17_selection_model_s01_chr3	147
sim_18_selection_model_s01_chr3	72
sim_19_selection_model_s01_chr3	89
sim_20_selection_model_s01_chr3	0
