sim_1_selection_model_s005_chr3	62
sim_2_selection_model_s005_chr3	159
sim_3_selection_model_s005_chr3	175
sim_4_selection_model_s005_chr3	1178
sim_5_selection_model_s005_chr3	396
sim_6_selection_model_s005_chr3	454
sim_7_selection_model_s005_chr3	148
sim_8_selection_model_s005_chr3	91
sim_9_selection_model_s005_chr3	240
sim_10_selection_model_s005_chr3	176
sim_11_selection_model_s005_chr3	236
sim_12_selection_model_s005_chr3	689
sim_13_selection_model_s005_chr3	1445
sim_14_selection_model_s005_chr3	122
sim_15_selection_model_s005_chr3	548
sim_16_selection_model_s005_chr3	408
sim_17_selection_model_s005_chr3	178
sim_18_selection_model_s005_chr3	454
sim_19_selection_model_s005_chr3	685
sim_20_selection_model_s005_chr3	630
