Simulation	Fifth_Percentile	Avg_H_e
Simulation 9	0.09784600043	0.327895938920079
Simulation 18	0.121810903920667	0.322684750298374
Simulation 2	0.12278971589	0.313170930599461
Simulation 14	0.126656781767	0.32766393419026
Simulation 19	0.1294948707	0.314184164808362
Simulation 7	0.129630053108	0.316468867724246
Simulation 16	0.130092614181333	0.305855045906545
Simulation 8	0.13362986776	0.312293248175678
Simulation 13	0.1413845987025	0.336298505086361
Simulation 1	0.149918840073333	0.330574204579536
Simulation 17	0.15134920905	0.336526557678469
Simulation 6	0.153370904048214	0.335020312626184
Simulation 20	0.15535295701	0.332484884028962
Simulation 10	0.15671416334625	0.329520329285135
Simulation 5	0.160737363203889	0.335525625985061
Simulation 3	0.162700785552857	0.340494004096676
Simulation 11	0.16956983374125	0.337335619860974
Simulation 12	0.181884618373	0.350777999564018
Simulation 15	0.18430542	0.373559638617343
Simulation 4	0.208115347641273	0.358718591428879
