Simulation	Fifth_Percentile	Avg_H_e
Simulation 15	0.09984542	0.341045038546871
Simulation 13	0.111656646143333	0.322535650657451
Simulation 3	0.1187024816875	0.312194388337994
Simulation 16	0.11971178455	0.342164245607332
Simulation 8	0.125811750697143	0.326580772855758
Simulation 18	0.126664424662222	0.324002049039464
Simulation 17	0.137787466848	0.3294852068944
Simulation 19	0.1386912739635	0.338221373130639
Simulation 6	0.141207361866667	0.327654960272824
Simulation 14	0.145435739811429	0.325707016217507
Simulation 10	0.150271533945	0.337849826148307
Simulation 2	0.157084646802	0.342990188989002
Simulation 20	0.16618134754	0.333688734782805
Simulation 9	0.170911987193333	0.334415000310859
Simulation 1	0.172263181485	0.340581146136203
Simulation 11	0.17461878704	0.338223353098473
Simulation 5	0.17988629848	0.340054969628268
Simulation 4	0.184626823636286	0.344222163333517
Simulation 7	0.191512673025	0.344728882768298
Simulation 12	0.194640645831818	0.345961761094661
