Simulation	Fifth_Percentile	Avg_H_e
Simulation 14	0.0397182542	0.307436934787345
Simulation 9	0.053255015445	0.285485889072846
Simulation 4	0.0703169598	0.302054361647692
Simulation 17	0.073494230985	0.279252481338271
Simulation 10	0.0940330584916667	0.318952759616553
Simulation 20	0.10498155139	0.316409208558205
Simulation 11	0.10563909755625	0.309522850893743
Simulation 7	0.1070766048	0.301030656960506
Simulation 18	0.10719609735	0.303623153574486
Simulation 2	0.1302565283	0.353385817301531
Simulation 1	0.132305651546786	0.331378967129649
Simulation 15	0.141368142724091	0.334365861410677
Simulation 16	0.14958254723	0.332516027537105
Simulation 6	0.153151444798	0.340839135261519
Simulation 19	0.156885046	0.342540347536386
Simulation 13	0.157403120296	0.332110489960291
Simulation 12	0.175745700389722	0.356953501737566
Simulation 3	0.1841485555	0.345976372120679
Simulation 8	0.186380368822857	0.34625386188105
Simulation 5	0.192604849012	0.34954332949314
