sim_1_selection_model_s05_chr3	21352014
sim_2_selection_model_s05_chr3	53762740
sim_3_selection_model_s05_chr3	74878206
sim_4_selection_model_s05_chr3	68697051
sim_5_selection_model_s05_chr3	28688984
sim_6_selection_model_s05_chr3	34022622
sim_7_selection_model_s05_chr3	88611453
sim_8_selection_model_s05_chr3	63717979
sim_9_selection_model_s05_chr3	66768108
sim_10_selection_model_s05_chr3	65388457
sim_11_selection_model_s05_chr3	22601970
sim_12_selection_model_s05_chr3	79577111
sim_13_selection_model_s05_chr3	27485125
sim_14_selection_model_s05_chr3	40496274
sim_15_selection_model_s05_chr3	51793272
sim_16_selection_model_s05_chr3	21527317
sim_17_selection_model_s05_chr3	88534866
sim_18_selection_model_s05_chr3	64484137
sim_19_selection_model_s05_chr3	20951892
sim_20_selection_model_s05_chr3	4213357
