Sim_name	Avg_He
sim_1_selection_model_s05_chr3	0.352721708096921
sim_2_selection_model_s05_chr3	0.410457013203671
sim_3_selection_model_s05_chr3	NA
sim_4_selection_model_s05_chr3	0.194220480232
sim_5_selection_model_s05_chr3	0.46925984935291
sim_6_selection_model_s05_chr3	0.190800939114074
sim_7_selection_model_s05_chr3	0.373747421334691
sim_8_selection_model_s05_chr3	0.369471904595238
sim_9_selection_model_s05_chr3	NA
sim_10_selection_model_s05_chr3	0.1195638008
sim_11_selection_model_s05_chr3	0.28364958
sim_12_selection_model_s05_chr3	NA
sim_13_selection_model_s05_chr3	NA
sim_14_selection_model_s05_chr3	NA
sim_15_selection_model_s05_chr3	0.101078086425
sim_16_selection_model_s05_chr3	0.18
sim_17_selection_model_s05_chr3	0.334185914255556
sim_18_selection_model_s05_chr3	0.09607928
sim_19_selection_model_s05_chr3	0.18
sim_20_selection_model_s05_chr3	NA
