sim_1_selection_model_s02_chr3	9478065
sim_2_selection_model_s02_chr3	10896049
sim_3_selection_model_s02_chr3	67525870
sim_4_selection_model_s02_chr3	40215973
sim_5_selection_model_s02_chr3	1471936
sim_6_selection_model_s02_chr3	33085013
sim_7_selection_model_s02_chr3	88832543
sim_8_selection_model_s02_chr3	84495432
sim_9_selection_model_s02_chr3	2647851
sim_10_selection_model_s02_chr3	91175648
sim_11_selection_model_s02_chr3	69536319
sim_12_selection_model_s02_chr3	11973235
sim_13_selection_model_s02_chr3	61870517
sim_14_selection_model_s02_chr3	42194310
sim_15_selection_model_s02_chr3	20253993
sim_16_selection_model_s02_chr3	4640216
sim_17_selection_model_s02_chr3	19048250
sim_18_selection_model_s02_chr3	5737765
sim_19_selection_model_s02_chr3	12790021
sim_20_selection_model_s02_chr3	69206417
