Sim_name	Avg_He
sim_1_selection_model_s06_chr3	0.000163598495971088
sim_2_selection_model_s06_chr3	0.00125710521872249
sim_3_selection_model_s06_chr3	0
sim_4_selection_model_s06_chr3	0.000668318380730381
sim_5_selection_model_s06_chr3	0
sim_6_selection_model_s06_chr3	0.147163820349326
sim_7_selection_model_s06_chr3	0.151020227487486
sim_8_selection_model_s06_chr3	0.0142377864341088
sim_9_selection_model_s06_chr3	0.00568094512362541
sim_10_selection_model_s06_chr3	0.193787466087867
sim_11_selection_model_s06_chr3	0.0106925366844893
sim_12_selection_model_s06_chr3	0.233758238557753
sim_13_selection_model_s06_chr3	0.00283334556506493
sim_14_selection_model_s06_chr3	0.00134061720288177
sim_15_selection_model_s06_chr3	0
sim_16_selection_model_s06_chr3	0
sim_17_selection_model_s06_chr3	0.00640946724456708
sim_18_selection_model_s06_chr3	0.0081147805855815
sim_19_selection_model_s06_chr3	0.00118569713998923
sim_20_selection_model_s06_chr3	0.00362089418421147
