#Simulation name	Length (bp)
sim_10_selection_model_s08_chr3	3700000
sim_11_selection_model_s08_chr3	8300000
sim_12_selection_model_s08_chr3	3400000
sim_13_selection_model_s08_chr3	5e+06
sim_14_selection_model_s08_chr3	12900000
sim_15_selection_model_s08_chr3	14500000
sim_16_selection_model_s08_chr3	8300000
sim_17_selection_model_s08_chr3	3e+06
sim_18_selection_model_s08_chr3	3e+06
sim_19_selection_model_s08_chr3	12500000
sim_1_selection_model_s08_chr3	13900000
sim_20_selection_model_s08_chr3	15400000
sim_2_selection_model_s08_chr3	6900000
sim_3_selection_model_s08_chr3	13500000
sim_4_selection_model_s08_chr3	4900000
sim_5_selection_model_s08_chr3	3400000
sim_6_selection_model_s08_chr3	7e+06
sim_7_selection_model_s08_chr3	4500000
sim_8_selection_model_s08_chr3	12600000
sim_9_selection_model_s08_chr3	1200000
