#Simulation name	Length (bp)
sim_10_selection_model_s04_chr3	3200000
sim_11_selection_model_s04_chr3	3800000
sim_12_selection_model_s04_chr3	3600000
sim_13_selection_model_s04_chr3	3700000
sim_14_selection_model_s04_chr3	3500000
sim_15_selection_model_s04_chr3	1900000
sim_16_selection_model_s04_chr3	4e+06
sim_17_selection_model_s04_chr3	6500000
sim_18_selection_model_s04_chr3	7800000
sim_19_selection_model_s04_chr3	4500000
sim_1_selection_model_s04_chr3	5400000
sim_20_selection_model_s04_chr3	3700000
sim_2_selection_model_s04_chr3	8e+06
sim_3_selection_model_s04_chr3	3700000
sim_4_selection_model_s04_chr3	8100000
sim_5_selection_model_s04_chr3	7400000
sim_6_selection_model_s04_chr3	2900000
sim_7_selection_model_s04_chr3	3100000
sim_8_selection_model_s04_chr3	3400000
sim_9_selection_model_s04_chr3	4300000
