#Simulation name	Length (bp)
sim_10_selection_model_s03_chr3	1500000
sim_11_selection_model_s03_chr3	5400000
sim_12_selection_model_s03_chr3	5400000
sim_13_selection_model_s03_chr3	3100000
sim_14_selection_model_s03_chr3	4200000
sim_15_selection_model_s03_chr3	8800000
sim_16_selection_model_s03_chr3	8e+05
sim_17_selection_model_s03_chr3	3200000
sim_18_selection_model_s03_chr3	3600000
sim_19_selection_model_s03_chr3	6100000
sim_1_selection_model_s03_chr3	2600000
sim_20_selection_model_s03_chr3	4900000
sim_2_selection_model_s03_chr3	8100000
sim_3_selection_model_s03_chr3	2800000
sim_4_selection_model_s03_chr3	3400000
sim_5_selection_model_s03_chr3	3500000
sim_6_selection_model_s03_chr3	6600000
sim_7_selection_model_s03_chr3	5100000
sim_8_selection_model_s03_chr3	3400000
sim_9_selection_model_s03_chr3	6200000
