#Simulation name	Length (bp)
sim_10_selection_model_s02_chr3	2300000
sim_11_selection_model_s02_chr3	3e+06
sim_12_selection_model_s02_chr3	5200000
sim_13_selection_model_s02_chr3	3700000
sim_14_selection_model_s02_chr3	1400000
sim_15_selection_model_s02_chr3	6600000
sim_16_selection_model_s02_chr3	8700000
sim_17_selection_model_s02_chr3	4700000
sim_18_selection_model_s02_chr3	4200000
sim_19_selection_model_s02_chr3	3300000
sim_1_selection_model_s02_chr3	3400000
sim_20_selection_model_s02_chr3	3900000
sim_2_selection_model_s02_chr3	5400000
sim_3_selection_model_s02_chr3	6600000
sim_4_selection_model_s02_chr3	4e+05
sim_5_selection_model_s02_chr3	6600000
sim_6_selection_model_s02_chr3	2900000
sim_7_selection_model_s02_chr3	8400000
sim_8_selection_model_s02_chr3	3200000
sim_9_selection_model_s02_chr3	4700000
