#Simulation name	Length (bp)
sim_10_selection_model_s07_chr3	4400000
sim_11_selection_model_s07_chr3	4200000
sim_12_selection_model_s07_chr3	4600000
sim_13_selection_model_s07_chr3	3400000
sim_14_selection_model_s07_chr3	6900000
sim_15_selection_model_s07_chr3	4900000
sim_16_selection_model_s07_chr3	10200000
sim_17_selection_model_s07_chr3	6300000
sim_18_selection_model_s07_chr3	13100000
sim_19_selection_model_s07_chr3	2800000
sim_1_selection_model_s07_chr3	5100000
sim_20_selection_model_s07_chr3	4900000
sim_2_selection_model_s07_chr3	5900000
sim_3_selection_model_s07_chr3	14400000
sim_4_selection_model_s07_chr3	3900000
sim_5_selection_model_s07_chr3	6e+06
sim_6_selection_model_s07_chr3	3400000
sim_7_selection_model_s07_chr3	6e+06
sim_8_selection_model_s07_chr3	1e+07
sim_9_selection_model_s07_chr3	4e+06
