Simulation	Fifth_Percentile	Avg_H_e
Simulation 14	0.0721875	0.275445123305534
Simulation 13	0.08146625	0.273859838040255
Simulation 9	0.095	0.276032804010833
Simulation 6	0.09945625	0.286502939411659
Simulation 3	0.0994875	0.283365572439939
Simulation 11	0.103994270833333	0.286625831486289
Simulation 1	0.1049703125	0.278694525185268
Simulation 20	0.105618125	0.279421678500356
Simulation 2	0.10719375	0.280587164501354
Simulation 17	0.1083875	0.280607817311518
Simulation 5	0.10905875	0.28062125585113
Simulation 8	0.1109225	0.27990914887463
Simulation 7	0.11233875	0.282567074908044
Simulation 15	0.1127515625	0.27955165009228
Simulation 4	0.116841875	0.290262045294484
Simulation 12	0.117318125	0.282900140983012
Simulation 10	0.118285833333333	0.28319866434193
Simulation 19	0.125615833333333	0.294643925095637
Simulation 18	0.126810625	0.292121877206517
Simulation 16	0.139469375	0.29006256845453
