Simulation	Fifth_Percentile	Avg_H_e
Simulation 17	0.0851852472	0.308770179106016
Simulation 13	0.111188206384286	0.328465370055491
Simulation 8	0.12084094646	0.316978773485263
Simulation 18	0.12386829466875	0.322287112555139
Simulation 11	0.125654757444	0.317551293770939
Simulation 10	0.12656459159	0.324520689077544
Simulation 19	0.1338634744	0.34380317531142
Simulation 3	0.13584113456	0.325461499763507
Simulation 9	0.14409787677303	0.333429945316365
Simulation 4	0.146927266895556	0.328213975448531
Simulation 16	0.148760185918857	0.345351404283778
Simulation 5	0.15112408621	0.329993725261314
Simulation 20	0.151222667464	0.324601060750318
Simulation 2	0.16474005333	0.321335903875687
Simulation 15	0.166149839838333	0.344587312989908
Simulation 12	0.16873960529	0.336772880564298
Simulation 7	0.1704272334975	0.339534199490739
Simulation 1	0.171294335912	0.336482438526614
Simulation 14	0.176584812728	0.333836568950126
Simulation 6	0.184989635962857	0.342052632934117
