Simulation	Fifth_Percentile	Avg_H_e
Simulation 1	0.101921801788636	0.314352656048644
Simulation 12	0.137923703562	0.328277872558367
Simulation 18	0.14555229674	0.330551540717982
Simulation 11	0.15346146628	0.320399035528863
Simulation 16	0.1552361477875	0.340692906153707
Simulation 3	0.163879761268571	0.323798638197646
Simulation 14	0.165501753333333	0.323384107491208
Simulation 5	0.167922856922	0.32913092370693
Simulation 8	0.16891662976	0.328654198344843
Simulation 6	0.171691836376667	0.327365993746925
Simulation 2	0.1719388376625	0.322935754739318
Simulation 10	0.174167017853333	0.337486043941693
Simulation 15	0.174437091423	0.329622607405792
Simulation 19	0.174872361791905	0.329498545486231
Simulation 7	0.175382643721667	0.351109488349044
Simulation 17	0.180845497415385	0.339350540502834
Simulation 9	0.182499772973333	0.339901094362628
Simulation 4	0.184353221846667	0.347212373382723
Simulation 20	0.186854912955	0.344665129821178
Simulation 13	0.19507242084	0.340006048536157
