Sim_name	Avg_He
sim_1_selection_model_s005_chr3	0.0498963555555556
sim_2_selection_model_s005_chr3	0.0324634669678148
sim_3_selection_model_s005_chr3	0.0876226293995859
sim_4_selection_model_s005_chr3	0.0221434065934066
sim_5_selection_model_s005_chr3	0.0396513888888889
sim_6_selection_model_s005_chr3	0.0714700288600289
sim_7_selection_model_s005_chr3	0.0140037173579109
sim_8_selection_model_s005_chr3	0.0226106666666667
sim_9_selection_model_s005_chr3	0.00499107142857143
sim_10_selection_model_s005_chr3	0.040217962962963
sim_11_selection_model_s005_chr3	0.040425
sim_12_selection_model_s005_chr3	0.0355325287356322
sim_13_selection_model_s005_chr3	0.0404633621933622
sim_14_selection_model_s005_chr3	0.0289880620155039
sim_15_selection_model_s005_chr3	0.004313
sim_16_selection_model_s005_chr3	0.0505384615384615
sim_17_selection_model_s005_chr3	0.0490995238095238
sim_18_selection_model_s005_chr3	0.0593411764705882
sim_19_selection_model_s005_chr3	0.0156346666666667
sim_20_selection_model_s005_chr3	0.057603630952381
