Simulation	Fifth_Percentile	Avg_H_e
Simulation 17	0.0038580973284	0.202092586337054
Simulation 6	0.00604324002035845	0.218217053159608
Simulation 4	0.0096417065319	0.199202728298997
Simulation 10	0.0147001387714286	0.206738691439596
Simulation 5	0.0173204068757143	0.218569953240179
Simulation 12	0.0211675920503572	0.216952936793395
Simulation 9	0.0229313508302857	0.225339758346753
Simulation 11	0.02320684234	0.211567869203893
Simulation 1	0.02476499071155	0.224637315122138
Simulation 19	0.0296428378945	0.218344483685421
Simulation 2	0.0300151202417857	0.193850371919207
Simulation 20	0.0318938888	0.220289948647016
Simulation 3	0.0346089569029143	0.214892597467485
Simulation 15	0.034851712082	0.202847777766492
Simulation 18	0.0446187286040045	0.217706631944714
Simulation 13	0.0574946067709091	0.223607074005818
Simulation 14	0.0645769674102857	0.231187680589451
Simulation 7	0.0712287107142857	0.226987547223702
Simulation 16	0.0816254089084849	0.239789689677704
Simulation 8	0.082650315	0.248679087704744
