Simulation	Fifth_Percentile	Avg_H_e
Simulation 2	0	0.188840458123819
Simulation 4	0	0.175974633000022
Simulation 9	0	0.161215391076266
Simulation 11	0	0.184710693634455
Simulation 17	0	0.148189736572745
Simulation 20	0	0.190658025688128
Simulation 14	0.000201878254200003	0.180292023602582
Simulation 7	0.000402113016800006	0.183992904831229
Simulation 10	0.00448344779919167	0.192352847555431
Simulation 1	0.00454013504190478	0.215551567163622
Simulation 19	0.0104786684981818	0.196549845470149
Simulation 12	0.0141381905292857	0.202031492665786
Simulation 15	0.0245981518333333	0.204809790721367
Simulation 18	0.029020231657	0.213327052165178
Simulation 13	0.036957	0.20158401114167
Simulation 3	0.0475686113433333	0.228488862838319
Simulation 16	0.0490662913571429	0.217020580093621
Simulation 8	0.0541091975384615	0.227934538771008
Simulation 6	0.0569765282207692	0.222184844044062
Simulation 5	0.0630361424	0.232172167775147
