Simulation	Fifth_Percentile	Avg_H_e
Simulation 15	0	0.211607514161108
Simulation 19	0.00634732544000001	0.200404595559868
Simulation 9	0.00681752401333333	0.21106027052005
Simulation 2	0.00716658080475002	0.202720317901058
Simulation 13	0.0195418006118182	0.220373401334372
Simulation 3	0.0228050172114286	0.21855663262746
Simulation 6	0.0241685145761	0.22288117545513
Simulation 14	0.0267789835745455	0.210322960062942
Simulation 20	0.03070056134144	0.219475321222992
Simulation 16	0.0320261488933333	0.211755370243978
Simulation 11	0.0417516503521678	0.224039785261488
Simulation 10	0.04202634847992	0.232590372487443
Simulation 1	0.04234592313757	0.221999014093509
Simulation 18	0.046997268012	0.233286837107964
Simulation 7	0.0473514077632071	0.211894444312576
Simulation 8	0.0479755907093333	0.220722012391351
Simulation 4	0.0502747087151	0.232951996972692
Simulation 5	0.0531907550328	0.225486966769818
Simulation 12	0.05578886184	0.23122816488068
Simulation 17	0.0606062338377273	0.227789826580292
