#Simulation name	Length (bp)
sim_10_selection_model_s05_chr3	1.1e+07
sim_11_selection_model_s05_chr3	4700000
sim_12_selection_model_s05_chr3	11300000
sim_13_selection_model_s05_chr3	6500000
sim_14_selection_model_s05_chr3	3300000
sim_15_selection_model_s05_chr3	4400000
sim_16_selection_model_s05_chr3	3200000
sim_17_selection_model_s05_chr3	3400000
sim_18_selection_model_s05_chr3	4300000
sim_19_selection_model_s05_chr3	3800000
sim_1_selection_model_s05_chr3	3200000
sim_20_selection_model_s05_chr3	5200000
sim_2_selection_model_s05_chr3	8200000
sim_3_selection_model_s05_chr3	2700000
sim_4_selection_model_s05_chr3	6300000
sim_5_selection_model_s05_chr3	3900000
sim_6_selection_model_s05_chr3	8600000
sim_7_selection_model_s05_chr3	2100000
sim_8_selection_model_s05_chr3	2100000
sim_9_selection_model_s05_chr3	9500000
