#Simulation name	Length (bp)
sim_10_selection_model_s01_chr3	11200000
sim_11_selection_model_s01_chr3	3100000
sim_12_selection_model_s01_chr3	7600000
sim_13_selection_model_s01_chr3	4100000
sim_14_selection_model_s01_chr3	4300000
sim_15_selection_model_s01_chr3	3e+06
sim_16_selection_model_s01_chr3	1900000
sim_17_selection_model_s01_chr3	3300000
sim_18_selection_model_s01_chr3	5100000
sim_19_selection_model_s01_chr3	2e+06
sim_1_selection_model_s01_chr3	6800000
sim_20_selection_model_s01_chr3	5200000
sim_2_selection_model_s01_chr3	4900000
sim_3_selection_model_s01_chr3	5300000
sim_4_selection_model_s01_chr3	2500000
sim_5_selection_model_s01_chr3	3200000
sim_6_selection_model_s01_chr3	7100000
sim_7_selection_model_s01_chr3	4500000
sim_8_selection_model_s01_chr3	1200000
sim_9_selection_model_s01_chr3	2200000
