#Simulation name	Length (bp)
sim_10_selection_model_s08_chr3	3300000
sim_11_selection_model_s08_chr3	5700000
sim_12_selection_model_s08_chr3	4500000
sim_13_selection_model_s08_chr3	6500000
sim_14_selection_model_s08_chr3	2400000
sim_15_selection_model_s08_chr3	5300000
sim_16_selection_model_s08_chr3	7e+06
sim_17_selection_model_s08_chr3	6300000
sim_18_selection_model_s08_chr3	3300000
sim_19_selection_model_s08_chr3	7800000
sim_1_selection_model_s08_chr3	2800000
sim_20_selection_model_s08_chr3	11800000
sim_2_selection_model_s08_chr3	9900000
sim_3_selection_model_s08_chr3	3200000
sim_4_selection_model_s08_chr3	3200000
sim_5_selection_model_s08_chr3	1e+06
sim_6_selection_model_s08_chr3	4400000
sim_7_selection_model_s08_chr3	9300000
sim_8_selection_model_s08_chr3	2e+06
sim_9_selection_model_s08_chr3	2700000
