#Simulation name	Length (bp)
sim_10_selection_model_s005_chr3	4900000
sim_11_selection_model_s005_chr3	15200000
sim_12_selection_model_s005_chr3	7300000
sim_13_selection_model_s005_chr3	4100000
sim_14_selection_model_s005_chr3	1900000
sim_15_selection_model_s005_chr3	7700000
sim_16_selection_model_s005_chr3	6500000
sim_17_selection_model_s005_chr3	7500000
sim_18_selection_model_s005_chr3	1900000
sim_19_selection_model_s005_chr3	5200000
sim_1_selection_model_s005_chr3	1600000
sim_20_selection_model_s005_chr3	2500000
sim_2_selection_model_s005_chr3	5279059
sim_3_selection_model_s005_chr3	1500000
sim_4_selection_model_s005_chr3	3900000
sim_5_selection_model_s005_chr3	16700000
sim_6_selection_model_s005_chr3	5200000
sim_7_selection_model_s005_chr3	7800000
sim_8_selection_model_s005_chr3	2200000
sim_9_selection_model_s005_chr3	6400000
