#Simulation name	Length (bp)
sim_10_selection_model_s05_chr3	3900000
sim_11_selection_model_s05_chr3	1600000
sim_12_selection_model_s05_chr3	10200000
sim_13_selection_model_s05_chr3	2600000
sim_14_selection_model_s05_chr3	2600000
sim_15_selection_model_s05_chr3	2700000
sim_16_selection_model_s05_chr3	10779059
sim_17_selection_model_s05_chr3	7700000
sim_18_selection_model_s05_chr3	6300000
sim_19_selection_model_s05_chr3	5300000
sim_1_selection_model_s05_chr3	7200000
sim_20_selection_model_s05_chr3	9600000
sim_2_selection_model_s05_chr3	8800000
sim_3_selection_model_s05_chr3	9800000
sim_4_selection_model_s05_chr3	1800000
sim_5_selection_model_s05_chr3	4e+06
sim_6_selection_model_s05_chr3	5400000
sim_7_selection_model_s05_chr3	5700000
sim_8_selection_model_s05_chr3	7400000
sim_9_selection_model_s05_chr3	2500000
