#Simulation name	Length (bp)
sim_10_selection_model_s06_chr3	4900000
sim_11_selection_model_s06_chr3	6400000
sim_12_selection_model_s06_chr3	9200000
sim_13_selection_model_s06_chr3	8400000
sim_14_selection_model_s06_chr3	5e+06
sim_15_selection_model_s06_chr3	11700000
sim_16_selection_model_s06_chr3	12300000
sim_17_selection_model_s06_chr3	1900000
sim_18_selection_model_s06_chr3	14300000
sim_19_selection_model_s06_chr3	5300000
sim_1_selection_model_s06_chr3	3200000
sim_20_selection_model_s06_chr3	15200000
sim_2_selection_model_s06_chr3	3400000
sim_3_selection_model_s06_chr3	2700000
sim_4_selection_model_s06_chr3	4400000
sim_5_selection_model_s06_chr3	4700000
sim_6_selection_model_s06_chr3	5900000
sim_7_selection_model_s06_chr3	1100000
sim_8_selection_model_s06_chr3	21100000
sim_9_selection_model_s06_chr3	17979059
