#Simulation name	Length (bp)
sim_10_selection_model_s08_chr3	10400000
sim_11_selection_model_s08_chr3	19279059
sim_12_selection_model_s08_chr3	5200000
sim_13_selection_model_s08_chr3	8500000
sim_14_selection_model_s08_chr3	6900000
sim_15_selection_model_s08_chr3	21600000
sim_16_selection_model_s08_chr3	6400000
sim_17_selection_model_s08_chr3	7e+06
sim_18_selection_model_s08_chr3	31700000
sim_19_selection_model_s08_chr3	24500000
sim_1_selection_model_s08_chr3	20300000
sim_20_selection_model_s08_chr3	2400000
sim_2_selection_model_s08_chr3	12100000
sim_3_selection_model_s08_chr3	7500000
sim_4_selection_model_s08_chr3	4200000
sim_5_selection_model_s08_chr3	6700000
sim_6_selection_model_s08_chr3	4e+06
sim_7_selection_model_s08_chr3	4300000
sim_8_selection_model_s08_chr3	9900000
sim_9_selection_model_s08_chr3	5100000
