#Simulation name	Length (bp)
sim_10_selection_model_s07_chr3	18400000
sim_11_selection_model_s07_chr3	3400000
sim_12_selection_model_s07_chr3	4900000
sim_13_selection_model_s07_chr3	11400000
sim_14_selection_model_s07_chr3	8200000
sim_15_selection_model_s07_chr3	20700000
sim_16_selection_model_s07_chr3	5300000
sim_17_selection_model_s07_chr3	27200000
sim_18_selection_model_s07_chr3	9800000
sim_19_selection_model_s07_chr3	2300000
sim_1_selection_model_s07_chr3	10700000
sim_20_selection_model_s07_chr3	1900000
sim_2_selection_model_s07_chr3	13279059
sim_3_selection_model_s07_chr3	4100000
sim_4_selection_model_s07_chr3	8600000
sim_5_selection_model_s07_chr3	6600000
sim_6_selection_model_s07_chr3	2200000
sim_7_selection_model_s07_chr3	18700000
sim_8_selection_model_s07_chr3	11500000
sim_9_selection_model_s07_chr3	3e+06
