Simulation	Fifth_Percentile	Avg_H_e
Simulation 3	0.154284120409	0.339419081084634
Simulation 13	0.171742309575333	0.357497769068882
Simulation 14	0.173478093084	0.352290483538226
Simulation 16	0.18223608	0.36826051076933
Simulation 6	0.1858047927	0.354144976236301
Simulation 15	0.187134745422857	0.369598440746617
Simulation 17	0.19078752	0.352995266286198
Simulation 2	0.19557893508	0.361422655956962
Simulation 18	0.196592025175	0.358457932268505
Simulation 10	0.19848717	0.361550263295211
Simulation 8	0.201493288789048	0.355958468990787
Simulation 19	0.21085698	0.366328089174288
Simulation 1	0.211877946529091	0.366018589576358
Simulation 5	0.212341865170182	0.3579326810893
Simulation 7	0.2158488880475	0.361329163738311
Simulation 9	0.217260509225714	0.362981674377214
Simulation 4	0.218010149366667	0.360702662162128
Simulation 20	0.219132955096667	0.362048347955868
Simulation 12	0.22742770992	0.365634002627709
Simulation 11	0.229663327438286	0.367094240608683
