Simulation	Fifth_Percentile	Avg_H_e
Simulation 9	0.12650584605	0.330530269243418
Simulation 17	0.1321667119	0.317964433220927
Simulation 10	0.14435913155	0.35446898320783
Simulation 11	0.1469711097125	0.339014699641097
Simulation 7	0.156151137533333	0.327903910262819
Simulation 4	0.15827865045	0.347490312064123
Simulation 14	0.16565411064	0.349334973435367
Simulation 19	0.1690926048	0.359835161388815
Simulation 18	0.17077008108375	0.33655820493668
Simulation 20	0.17397964875	0.3454351796417
Simulation 1	0.183160158657143	0.354805107621522
Simulation 13	0.1896627264	0.35210360325571
Simulation 15	0.1968704981125	0.361499050617946
Simulation 2	0.199626044636667	0.38079589743822
Simulation 16	0.200903355621667	0.357901244743428
Simulation 6	0.209472527205	0.368013417237168
Simulation 12	0.222630531137222	0.378628252318903
Simulation 8	0.229074767485143	0.370986045692402
Simulation 3	0.229387438569524	0.369414780925975
Simulation 5	0.23653625056	0.373469775895316
