CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
3	7800001	22	0.44	600	[7800001,8400000]
3	8400001	21	0.42	700	[8400001,9100000]
3	9100001	22	0.44	300	[9100001,9400000]
3	9400001	21	0.42	300	[9400001,9700000]
3	9700001	18	0.36	100	[9700001,9800000]
3	31700001	17	0.34	100	[31700001,31800000]
3	32200001	17	0.34	700	[32200001,32900000]
3	32900001	18	0.36	300	[32900001,33200000]
3	33200001	19	0.38	100	[33200001,33300000]
3	33900001	17	0.34	200	[33900001,34100000]
3	34200001	17	0.34	600	[34200001,34800000]
3	34800001	18	0.36	100	[34800001,34900000]
3	34900001	17	0.34	900	[34900001,35800000]
3	35800001	18	0.36	100	[35800001,35900000]
3	54400001	21	0.42	800	[54400001,55200000]
3	55200001	25	0.5	300	[55200001,55500000]
3	55500001	26	0.52	900	[55500001,56400000]
3	56400001	27	0.54	400	[56400001,56800000]
3	56800001	25	0.5	300	[56800001,57100000]
3	57100001	19	0.38	200	[57100001,57300000]
3	57300001	21	0.42	1200	[57300001,58500000]
3	58500001	20	0.4	100	[58500001,58600000]
3	58600001	18	0.36	100	[58600001,58700000]
3	58700001	20	0.4	600	[58700001,59300000]
3	59300001	17	0.34	500	[59300001,59800000]
3	59800001	18	0.36	100	[59800001,59900000]
3	59900001	22	0.44	900	[59900001,60800000]
3	60800001	23	0.46	1000	[60800001,61800000]
3	61800001	21	0.42	1300	[61800001,63100000]
3	67500001	22	0.44	200	[67500001,67700000]
3	67700001	21	0.42	900	[67700001,68600000]
3	68600001	23	0.46	900	[68600001,69500000]
3	69500001	24	0.48	1800	[69500001,71300000]
3	71300001	26	0.52	100	[71300001,71400000]
3	71400001	20	0.4	200	[71400001,71600000]
3	71600001	19	0.38	300	[71600001,71900000]
3	71900001	20	0.4	700	[71900001,72600000]
3	84200001	18	0.36	600	[84200001,84800000]
3	84800001	17	0.34	1200	[84800001,86000000]
3	87600001	17	0.34	1900	[87600001,89500000]
3	8400000	22	0.44	600	[7800001,8400000]
3	9100000	21	0.42	700	[8400001,9100000]
3	9400000	22	0.44	300	[9100001,9400000]
3	9700000	21	0.42	300	[9400001,9700000]
3	9800000	18	0.36	100	[9700001,9800000]
3	31800000	17	0.34	100	[31700001,31800000]
3	32900000	17	0.34	700	[32200001,32900000]
3	33200000	18	0.36	300	[32900001,33200000]
3	33300000	19	0.38	100	[33200001,33300000]
3	34100000	17	0.34	200	[33900001,34100000]
3	34800000	17	0.34	600	[34200001,34800000]
3	34900000	18	0.36	100	[34800001,34900000]
3	35800000	17	0.34	900	[34900001,35800000]
3	35900000	18	0.36	100	[35800001,35900000]
3	55200000	21	0.42	800	[54400001,55200000]
3	55500000	25	0.5	300	[55200001,55500000]
3	56400000	26	0.52	900	[55500001,56400000]
3	56800000	27	0.54	400	[56400001,56800000]
3	57100000	25	0.5	300	[56800001,57100000]
3	57300000	19	0.38	200	[57100001,57300000]
3	58500000	21	0.42	1200	[57300001,58500000]
3	58600000	20	0.4	100	[58500001,58600000]
3	58700000	18	0.36	100	[58600001,58700000]
3	59300000	20	0.4	600	[58700001,59300000]
3	59800000	17	0.34	500	[59300001,59800000]
3	59900000	18	0.36	100	[59800001,59900000]
3	60800000	22	0.44	900	[59900001,60800000]
3	61800000	23	0.46	1000	[60800001,61800000]
3	63100000	21	0.42	1300	[61800001,63100000]
3	67700000	22	0.44	200	[67500001,67700000]
3	68600000	21	0.42	900	[67700001,68600000]
3	69500000	23	0.46	900	[68600001,69500000]
3	71300000	24	0.48	1800	[69500001,71300000]
3	71400000	26	0.52	100	[71300001,71400000]
3	71600000	20	0.4	200	[71400001,71600000]
3	71900000	19	0.38	300	[71600001,71900000]
3	72600000	20	0.4	700	[71900001,72600000]
3	84800000	18	0.36	600	[84200001,84800000]
3	86000000	17	0.34	1200	[84800001,86000000]
3	89500000	17	0.34	1900	[87600001,89500000]
