#Simulation name	Length (bp)
sim_10_selection_model_s01_chr3	1e+06
sim_11_selection_model_s01_chr3	2700000
sim_12_selection_model_s01_chr3	1100000
sim_13_selection_model_s01_chr3	2e+06
sim_14_selection_model_s01_chr3	8e+05
sim_15_selection_model_s01_chr3	1100000
sim_16_selection_model_s01_chr3	6e+05
sim_17_selection_model_s01_chr3	5e+05
sim_18_selection_model_s01_chr3	7e+05
sim_19_selection_model_s01_chr3	3100000
sim_1_selection_model_s01_chr3	3900000
sim_20_selection_model_s01_chr3	1500000
sim_2_selection_model_s01_chr3	1300000
sim_3_selection_model_s01_chr3	1100000
sim_4_selection_model_s01_chr3	8900000
sim_5_selection_model_s01_chr3	2500000
sim_6_selection_model_s01_chr3	2400000
sim_7_selection_model_s01_chr3	10500000
sim_8_selection_model_s01_chr3	2e+06
sim_9_selection_model_s01_chr3	2100000
