#Simulation name	Length (bp)
sim_10_selection_model_s08_chr3	5800000
sim_11_selection_model_s08_chr3	6500000
sim_12_selection_model_s08_chr3	3600000
sim_13_selection_model_s08_chr3	1e+06
sim_14_selection_model_s08_chr3	1700000
sim_15_selection_model_s08_chr3	4100000
sim_16_selection_model_s08_chr3	1500000
sim_17_selection_model_s08_chr3	1900000
sim_18_selection_model_s08_chr3	1.2e+07
sim_19_selection_model_s08_chr3	3300000
sim_1_selection_model_s08_chr3	5500000
sim_20_selection_model_s08_chr3	12800000
sim_2_selection_model_s08_chr3	2400000
sim_3_selection_model_s08_chr3	9e+05
sim_4_selection_model_s08_chr3	1200000
sim_5_selection_model_s08_chr3	3900000
sim_6_selection_model_s08_chr3	6900000
sim_7_selection_model_s08_chr3	5400000
sim_8_selection_model_s08_chr3	3400000
sim_9_selection_model_s08_chr3	5200000
