Simulation	Fifth_Percentile	Avg_H_e
Simulation 5	0	0.182100573338656
Simulation 7	0	0.144710527043136
Simulation 8	0	0.194144363493352
Simulation 12	0	0.196927870399876
Simulation 13	0	0.206205670479617
Simulation 15	0	0.157427371823412
Simulation 19	0	0.16569342989904
Simulation 3	0.000421241791250001	0.186181290968747
Simulation 4	0.00570801112000001	0.195237437912414
Simulation 17	0.00612408949262001	0.180676655711061
Simulation 2	0.0174693866759	0.22147902318706
Simulation 16	0.0332974907174026	0.215518869882675
Simulation 11	0.03796176	0.214026501928731
Simulation 14	0.04100134318	0.226465794706732
Simulation 20	0.0415607597864375	0.220287327287441
Simulation 6	0.0441334795858308	0.222027833936943
Simulation 9	0.0500251871583158	0.218991620296462
Simulation 1	0.051025565952	0.228497455099972
Simulation 18	0.07106769092875	0.240000606274146
Simulation 10	0.0765488860626667	0.246744772591278
