Simulation	Fifth_Percentile	Avg_H_e
Simulation 5	0.0619036907226667	0.224039126942722
Simulation 2	0.0664935157770667	0.235741316021622
Simulation 19	0.0673228987306667	0.240344137668794
Simulation 11	0.0685092040656	0.235629513168289
Simulation 18	0.074250877152	0.240721008176119
Simulation 8	0.0786685475818182	0.238894226066189
Simulation 16	0.0823181449533333	0.243268606133193
Simulation 10	0.0828407351428572	0.239841248958877
Simulation 15	0.0836409538581818	0.251267601736818
Simulation 17	0.0850497550102857	0.246442175807085
Simulation 3	0.08643029993984	0.253568742242108
Simulation 13	0.0870491453346286	0.248282536686845
Simulation 14	0.0873113444571429	0.2505277568985
Simulation 9	0.0910455295	0.248202887698891
Simulation 4	0.0910634719771429	0.254168250551304
Simulation 7	0.0975263877	0.251194991954499
Simulation 12	0.100479848695867	0.264106704627075
Simulation 1	0.102013123906667	0.257743250655917
Simulation 20	0.103593520378182	0.257445168864454
Simulation 6	0.106433214375	0.260188714180888
