sim_1_selection_model_s02_chr3	25926419
sim_2_selection_model_s02_chr3	21161302
sim_3_selection_model_s02_chr3	59138362
sim_4_selection_model_s02_chr3	91165666
sim_5_selection_model_s02_chr3	25084620
sim_6_selection_model_s02_chr3	79729549
sim_7_selection_model_s02_chr3	87537878
sim_8_selection_model_s02_chr3	11033718
sim_9_selection_model_s02_chr3	78841336
sim_10_selection_model_s02_chr3	31516272
sim_11_selection_model_s02_chr3	5551699
sim_12_selection_model_s02_chr3	19979292
sim_13_selection_model_s02_chr3	58334299
sim_14_selection_model_s02_chr3	23811700
sim_15_selection_model_s02_chr3	48534496
sim_16_selection_model_s02_chr3	40602571
sim_17_selection_model_s02_chr3	20151941
sim_18_selection_model_s02_chr3	25483275
sim_19_selection_model_s02_chr3	13688060
sim_20_selection_model_s02_chr3	63548466
