Simulation	Fifth_Percentile	Avg_H_e
Simulation 1	0	0.166304267648996
Simulation 3	0	0.183603973988073
Simulation 19	0	0.188754914160766
Simulation 20	0	0.190141685547126
Simulation 2	0.000988421056700001	0.190896552131008
Simulation 15	0.0028025859986091	0.194866628036375
Simulation 16	0.00356934374057144	0.199037899304871
Simulation 11	0.00425023652114286	0.169816736297928
Simulation 17	0.0055927857925	0.198456771552617
Simulation 9	0.0091328932	0.195856198303221
Simulation 13	0.0159437551006667	0.201246731670758
Simulation 14	0.01835806983	0.214693148690393
Simulation 8	0.0210339885106	0.198576723432421
Simulation 6	0.0251426316425	0.182911186643553
Simulation 18	0.0278894090375	0.208115252567497
Simulation 5	0.0306235562185714	0.211980848213295
Simulation 4	0.030881344505	0.225818588700098
Simulation 7	0.0535503833044444	0.229132352830158
Simulation 10	0.0627938314644444	0.234154752811345
Simulation 12	0.0764193595230769	0.241636739722242
