sim_1_selection_model_s01_chr3	132
sim_2_selection_model_s01_chr3	7
sim_3_selection_model_s01_chr3	123
sim_4_selection_model_s01_chr3	30
sim_5_selection_model_s01_chr3	69
sim_6_selection_model_s01_chr3	19
sim_7_selection_model_s01_chr3	158
sim_8_selection_model_s01_chr3	181
sim_9_selection_model_s01_chr3	51
sim_10_selection_model_s01_chr3	50
sim_11_selection_model_s01_chr3	1
sim_12_selection_model_s01_chr3	38
sim_13_selection_model_s01_chr3	159
sim_14_selection_model_s01_chr3	159
sim_15_selection_model_s01_chr3	151
sim_16_selection_model_s01_chr3	137
sim_17_selection_model_s01_chr3	49
sim_18_selection_model_s01_chr3	123
sim_19_selection_model_s01_chr3	30
sim_20_selection_model_s01_chr3	52
