Simulation	Fifth_Percentile	Avg_H_e
Simulation 9	0.1258875	0.304177111314096
Simulation 2	0.1302	0.315212938812167
Simulation 7	0.1344875	0.305047189614903
Simulation 5	0.135111875	0.31541434940353
Simulation 11	0.13876125	0.317815370941984
Simulation 4	0.1426	0.324375782543903
Simulation 12	0.1429875	0.322949881887052
Simulation 16	0.1459728125	0.312144389069807
Simulation 19	0.15388	0.334892328786493
Simulation 14	0.154690625	0.322118810755337
Simulation 20	0.1596875	0.321431489759843
Simulation 8	0.1638	0.33419261600513
Simulation 18	0.16631696875	0.324422486006991
Simulation 10	0.1678875	0.336460267222027
Simulation 6	0.168926785714286	0.340611686749804
Simulation 3	0.17195	0.332939745993008
Simulation 15	0.175891875	0.34072453734239
Simulation 1	0.1759875	0.339276558693692
Simulation 13	0.1759875	0.329077150473866
Simulation 17	0.186651875	0.336308592361916
