CHR	POS	COUNT	FREQUENCY	Length_Mb	Hotspot_interval
1	21900001	138	0.621622	0.7	[21900001,22600000]
1	22000001	137	0.617117	0.7	[21900001,22600000]
1	22100001	120	0.540541	0.7	[21900001,22600000]
1	22200001	119	0.536036	0.7	[21900001,22600000]
1	22300001	119	0.536036	0.7	[21900001,22600000]
1	22400001	122	0.54955	0.7	[21900001,22600000]
1	22500001	118	0.531532	0.7	[21900001,22600000]
1	22000000	138	0.621622	0.7	[21900001,22600000]
1	22100000	137	0.617117	0.7	[21900001,22600000]
1	22200000	120	0.540541	0.7	[21900001,22600000]
1	22300000	119	0.536036	0.7	[21900001,22600000]
1	22400000	119	0.536036	0.7	[21900001,22600000]
1	22500000	122	0.54955	0.7	[21900001,22600000]
1	22600000	118	0.531532	0.7	[21900001,22600000]
