CHR	POS	COUNT	FREQUENCY	Length_Mb	Hotspot_interval
13	37300001	133	0.599099	1.2	[37300001,38500000]
13	37400001	133	0.599099	1.2	[37300001,38500000]
13	37500001	133	0.599099	1.2	[37300001,38500000]
13	37600001	134	0.603604	1.2	[37300001,38500000]
13	37700001	134	0.603604	1.2	[37300001,38500000]
13	37800001	134	0.603604	1.2	[37300001,38500000]
13	37900001	134	0.603604	1.2	[37300001,38500000]
13	38000001	134	0.603604	1.2	[37300001,38500000]
13	38100001	134	0.603604	1.2	[37300001,38500000]
13	38200001	134	0.603604	1.2	[37300001,38500000]
13	38300001	134	0.603604	1.2	[37300001,38500000]
13	38400001	131	0.59009	1.2	[37300001,38500000]
13	37400000	133	0.599099	1.2	[37300001,38500000]
13	37500000	133	0.599099	1.2	[37300001,38500000]
13	37600000	133	0.599099	1.2	[37300001,38500000]
13	37700000	134	0.603604	1.2	[37300001,38500000]
13	37800000	134	0.603604	1.2	[37300001,38500000]
13	37900000	134	0.603604	1.2	[37300001,38500000]
13	38000000	134	0.603604	1.2	[37300001,38500000]
13	38100000	134	0.603604	1.2	[37300001,38500000]
13	38200000	134	0.603604	1.2	[37300001,38500000]
13	38300000	134	0.603604	1.2	[37300001,38500000]
13	38400000	134	0.603604	1.2	[37300001,38500000]
13	38500000	131	0.59009	1.2	[37300001,38500000]
