Simulation	Fifth_Percentile
Simulation 20	0.0419415102
Simulation 2	0.0555075102
Simulation 5	0.0555075102
Simulation 14	0.0555075102
Simulation 18	0.0555075102
Simulation 19	0.0555075102
Simulation 7	0.05951613468
Simulation 1	0.0688695918
Simulation 3	0.0688695918
Simulation 6	0.0688695918
Simulation 9	0.0688695918
Simulation 11	0.0688695918
Simulation 15	0.0688695918
Simulation 16	0.0688695918
Simulation 4	0.0820460408
Simulation 12	0.0820460408
Simulation 13	0.0820460408
Simulation 8	0.095
Simulation 17	0.095
Simulation 10	0.1077500408
