Simulation	Fifth_Percentile
Simulation 5	0.0419415102
Simulation 14	0.0453330102
Simulation 18	0.0555075102
Simulation 20	0.0555075102
Simulation 3	0.06805169385
Simulation 2	0.0688695918
Simulation 7	0.0688695918
Simulation 8	0.0688695918
Simulation 12	0.0688695918
Simulation 17	0.0688695918
Simulation 9	0.0820460408
Simulation 13	0.0820460408
Simulation 16	0.0820460408
Simulation 10	0.09305690612
Simulation 15	0.09435230204
Simulation 4	0.09467140668
Simulation 1	0.095
Simulation 11	0.1077500408
Simulation 6	0.1225741212
Simulation 19	0.1326555102
