Simulation	Fifth_Percentile
Simulation 8	0.0419415102
Simulation 15	0.0419415102
Simulation 11	0.0555075102
Simulation 12	0.0555075102
Simulation 14	0.0555075102
Simulation 1	0.0688695918
Simulation 10	0.0688695918
Simulation 9	0.0820460408
Simulation 18	0.0820460408
Simulation 17	0.08544513875
Simulation 4	0.09046611428
Simulation 5	0.095
Simulation 7	0.095
Simulation 3	0.10385975713
Simulation 6	0.1077500408
Simulation 16	0.1077500408
Simulation 13	0.1203135918
Simulation 19	0.1203135918
Simulation 20	0.1203135918
Simulation 2	0.1326555102
