Simulation	Fifth_Percentile
Simulation 1	0.0281715918
Simulation 13	0.04870411836
Simulation 8	0.0555075102
Simulation 9	0.0555075102
Simulation 10	0.0555075102
Simulation 16	0.0555075102
Simulation 18	0.0555075102
Simulation 3	0.05684371836
Simulation 2	0.0688695918
Simulation 5	0.0688695918
Simulation 20	0.0688695918
Simulation 14	0.0820460408
Simulation 17	0.0852845306
Simulation 4	0.095
Simulation 6	0.095
Simulation 11	0.095
Simulation 7	0.1077500408
Simulation 12	0.1077500408
Simulation 19	0.1077500408
Simulation 15	0.11631976308
