Simulation	Fifth_Percentile
Simulation 18	0.0281715918
Simulation 19	0.0281715918
Simulation 12	0.0419415102
Simulation 4	0.0555075102
Simulation 14	0.0555075102
Simulation 17	0.0555075102
Simulation 9	0.0688695918
Simulation 11	0.0688695918
Simulation 15	0.0688695918
Simulation 13	0.081649638765
Simulation 3	0.0820460408
Simulation 5	0.0820460408
Simulation 8	0.0820460408
Simulation 16	0.09154561088
Simulation 1	0.095
Simulation 6	0.11214728365
Simulation 2	0.1152881714
Simulation 20	0.116070148785
Simulation 7	0.1326555102
Simulation 10	0.1447935102
