Simulation	Fifth_Percentile	Avg_H_e
Simulation 7	0.1678875	0.323039328800955
Simulation 19	0.172326875	0.322391239007416
Simulation 1	0.17258875	0.32577066225426
Simulation 18	0.17393025	0.330288717771113
Simulation 15	0.174089166666667	0.329413379886608
Simulation 8	0.178221458333333	0.331814563143984
Simulation 3	0.178894375	0.331087510197444
Simulation 12	0.18065625	0.324288846877636
Simulation 10	0.181316666666667	0.328010981014839
Simulation 4	0.18435890625	0.325426961385217
Simulation 9	0.184444916666667	0.328373262828496
Simulation 2	0.184684375	0.326683410172344
Simulation 16	0.184920833333333	0.323664666554762
Simulation 6	0.187051875	0.324516896035834
Simulation 20	0.187859375	0.335476474238865
Simulation 5	0.188494166666667	0.327131427452224
Simulation 13	0.18967	0.32738298866218
Simulation 11	0.189989375	0.32569381111996
Simulation 14	0.190984791666667	0.331891017618117
Simulation 17	0.198881026785714	0.329461676374337
