CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
3	20600001	21	0.42	300	[20600001,20900000]
3	21400001	22	0.44	100	[21400001,21500000]
3	21500001	24	0.48	100	[21500001,21600000]
3	21600001	25	0.5	300	[21600001,21900000]
3	21900001	23	0.46	200	[21900001,22100000]
3	22100001	29	0.58	700	[22100001,22800000]
3	22800001	28	0.56	600	[22800001,23400000]
3	23400001	30	0.6	500	[23400001,23900000]
3	23900001	29	0.58	1800	[23900001,25700000]
3	25700001	30	0.6	900	[25700001,26600000]
3	26600001	21	0.42	200	[26600001,26800000]
3	27200001	21	0.42	1400	[27200001,28600000]
3	28900001	23	0.46	300	[28900001,29200000]
3	29200001	24	0.48	200	[29200001,29400000]
3	29400001	21	0.42	500	[29400001,29900000]
3	29900001	24	0.48	200	[29900001,30100000]
3	30100001	25	0.5	800	[30100001,30900000]
3	30900001	24	0.48	300	[30900001,31200000]
3	31200001	23	0.46	200	[31200001,31400000]
3	31400001	24	0.48	500	[31400001,31900000]
3	31900001	25	0.5	400	[31900001,32300000]
3	32300001	22	0.44	100	[32300001,32400000]
3	32400001	21	0.42	300	[32400001,32700000]
3	34800001	21	0.42	600	[34800001,35400000]
3	41600001	31	0.62	500	[41600001,42100000]
3	42100001	32	0.64	800	[42100001,42900000]
3	42900001	33	0.66	1200	[42900001,44100000]
3	44100001	32	0.64	400	[44100001,44500000]
3	44500001	38	0.76	100	[44500001,44600000]
3	44600001	39	0.78	800	[44600001,45400000]
3	45400001	38	0.76	500	[45400001,45900000]
3	45900001	31	0.62	700	[45900001,46600000]
3	46600001	23	0.46	200	[46600001,46800000]
3	46800001	24	0.48	400	[46800001,47200000]
3	47200001	22	0.44	300	[47200001,47500000]
3	47500001	21	0.42	800	[47500001,48300000]
3	49900001	21	0.42	100	[49900001,50000000]
3	50000001	22	0.44	700	[50000001,50700000]
3	78000001	21	0.42	800	[78000001,78800000]
3	78800001	22	0.44	400	[78800001,79200000]
3	79300001	21	0.42	300	[79300001,79600000]
3	79600001	22	0.44	300	[79600001,79900000]
3	79900001	24	0.48	1300	[79900001,81200000]
3	81200001	28	0.56	500	[81200001,81700000]
3	82100001	23	0.46	500	[82100001,82600000]
3	83300001	27	0.54	2400	[83300001,85700000]
3	85700001	26	0.52	1400	[85700001,87100000]
3	87100001	24	0.48	300	[87100001,87400000]
3	20900000	21	0.42	300	[20600001,20900000]
3	21500000	22	0.44	100	[21400001,21500000]
3	21600000	24	0.48	100	[21500001,21600000]
3	21900000	25	0.5	300	[21600001,21900000]
3	22100000	23	0.46	200	[21900001,22100000]
3	22800000	29	0.58	700	[22100001,22800000]
3	23400000	28	0.56	600	[22800001,23400000]
3	23900000	30	0.6	500	[23400001,23900000]
3	25700000	29	0.58	1800	[23900001,25700000]
3	26600000	30	0.6	900	[25700001,26600000]
3	26800000	21	0.42	200	[26600001,26800000]
3	28600000	21	0.42	1400	[27200001,28600000]
3	29200000	23	0.46	300	[28900001,29200000]
3	29400000	24	0.48	200	[29200001,29400000]
3	29900000	21	0.42	500	[29400001,29900000]
3	30100000	24	0.48	200	[29900001,30100000]
3	30900000	25	0.5	800	[30100001,30900000]
3	31200000	24	0.48	300	[30900001,31200000]
3	31400000	23	0.46	200	[31200001,31400000]
3	31900000	24	0.48	500	[31400001,31900000]
3	32300000	25	0.5	400	[31900001,32300000]
3	32400000	22	0.44	100	[32300001,32400000]
3	32700000	21	0.42	300	[32400001,32700000]
3	35400000	21	0.42	600	[34800001,35400000]
3	42100000	31	0.62	500	[41600001,42100000]
3	42900000	32	0.64	800	[42100001,42900000]
3	44100000	33	0.66	1200	[42900001,44100000]
3	44500000	32	0.64	400	[44100001,44500000]
3	44600000	38	0.76	100	[44500001,44600000]
3	45400000	39	0.78	800	[44600001,45400000]
3	45900000	38	0.76	500	[45400001,45900000]
3	46600000	31	0.62	700	[45900001,46600000]
3	46800000	23	0.46	200	[46600001,46800000]
3	47200000	24	0.48	400	[46800001,47200000]
3	47500000	22	0.44	300	[47200001,47500000]
3	48300000	21	0.42	800	[47500001,48300000]
3	50000000	21	0.42	100	[49900001,50000000]
3	50700000	22	0.44	700	[50000001,50700000]
3	78800000	21	0.42	800	[78000001,78800000]
3	79200000	22	0.44	400	[78800001,79200000]
3	79600000	21	0.42	300	[79300001,79600000]
3	79900000	22	0.44	300	[79600001,79900000]
3	81200000	24	0.48	1300	[79900001,81200000]
3	81700000	28	0.56	500	[81200001,81700000]
3	82600000	23	0.46	500	[82100001,82600000]
3	85700000	27	0.54	2400	[83300001,85700000]
3	87100000	26	0.52	1400	[85700001,87100000]
3	87400000	24	0.48	300	[87100001,87400000]
