sim_1_selection_model_s03_chr3	71736212
sim_2_selection_model_s03_chr3	63015708
sim_3_selection_model_s03_chr3	23972643
sim_4_selection_model_s03_chr3	89343684
sim_5_selection_model_s03_chr3	74443276
sim_6_selection_model_s03_chr3	55592181
sim_7_selection_model_s03_chr3	80000364
sim_8_selection_model_s03_chr3	35412260
sim_9_selection_model_s03_chr3	51636122
sim_10_selection_model_s03_chr3	49851209
sim_11_selection_model_s03_chr3	49208891
sim_12_selection_model_s03_chr3	52767018
sim_13_selection_model_s03_chr3	59845999
sim_14_selection_model_s03_chr3	25979084
sim_15_selection_model_s03_chr3	39252799
sim_16_selection_model_s03_chr3	47342460
sim_17_selection_model_s03_chr3	85259118
sim_18_selection_model_s03_chr3	43427320
sim_19_selection_model_s03_chr3	49289955
sim_20_selection_model_s03_chr3	85538815
