Sim_name	Avg_He
sim_1_selection_model_s05_chr3	0.207687413598922
sim_2_selection_model_s05_chr3	0.13251475630747
sim_3_selection_model_s05_chr3	0.00585215671988997
sim_4_selection_model_s05_chr3	0.0343615272550397
sim_5_selection_model_s05_chr3	0.197070356021438
sim_6_selection_model_s05_chr3	0.0554901423105761
sim_7_selection_model_s05_chr3	0.237085131688674
sim_8_selection_model_s05_chr3	0.119782041967865
sim_9_selection_model_s05_chr3	0.00670434990008655
sim_10_selection_model_s05_chr3	0.0049262324714843
sim_11_selection_model_s05_chr3	0.00708331585862444
sim_12_selection_model_s05_chr3	0.00776474408121795
sim_13_selection_model_s05_chr3	0.00465821571700607
sim_14_selection_model_s05_chr3	0.00391858382157738
sim_15_selection_model_s05_chr3	0.00965447554458874
sim_16_selection_model_s05_chr3	0.0036840094145202
sim_17_selection_model_s05_chr3	0.0947337140456162
sim_18_selection_model_s05_chr3	0.00277007737153498
sim_19_selection_model_s05_chr3	0.00761608068874144
sim_20_selection_model_s05_chr3	0
