Simulation	Fifth_Percentile	Avg_H_e
Simulation 12	0.002561328125	0.140666115898633
Simulation 14	0.0049525	0.143707979750491
Simulation 13	0.0059605	0.138908447782481
Simulation 3	0.00851777777777778	0.145554172216102
Simulation 4	0.00914367187500001	0.151601657846203
Simulation 20	0.00985375	0.147149591147543
Simulation 1	0.012847012987013	0.148780695519122
Simulation 8	0.0146776785714286	0.149741691559034
Simulation 9	0.01486275	0.142850903090868
Simulation 6	0.0187232142857143	0.144857184090155
Simulation 19	0.0212003571428571	0.152233704450094
Simulation 17	0.0217981960227273	0.149542308972808
Simulation 15	0.024294375	0.152276091149049
Simulation 11	0.0249944642857143	0.157909227584976
Simulation 5	0.0250774358974359	0.152675908661496
Simulation 7	0.0259642613636364	0.15638153770519
Simulation 10	0.0264064583333333	0.152445403247188
Simulation 2	0.02901	0.155128925517484
Simulation 18	0.0294975	0.1545663221858
Simulation 16	0.029742796875	0.159118476094909
