Simulation	Fifth_Percentile	Avg_H_e
Simulation 1	0	0.135965195844138
Simulation 4	0	0.134776992879512
Simulation 11	0	0.14518867041648
Simulation 13	0	0.128377593224795
Simulation 8	0.0011305	0.135984577990806
Simulation 19	0.00174869047619048	0.139709958712951
Simulation 5	0.00307564102564103	0.135238805387121
Simulation 6	0.003928	0.13518856634498
Simulation 20	0.00400271428571429	0.130570643390391
Simulation 17	0.004375546875	0.126315686852042
Simulation 16	0.00542230769230769	0.133568471523218
Simulation 12	0.00584275	0.139574881257195
Simulation 3	0.00614055555555556	0.137451068505983
Simulation 9	0.00900166666666667	0.146527946205655
Simulation 15	0.0108819444444444	0.136050751828335
Simulation 2	0.0136771428571429	0.147385484271246
Simulation 14	0.01602625	0.142261411760206
Simulation 18	0.0171974621212121	0.150958698047916
Simulation 7	0.0172134375	0.150629123458757
Simulation 10	0.0316624064171123	0.149833072052438
