Simulation	Fifth_Percentile	Avg_H_e
Simulation 18	0.152341466293571	0.327420606669679
Simulation 5	0.15295418866	0.327092718870605
Simulation 16	0.157601153748	0.325609036550091
Simulation 11	0.16201538408375	0.33010964071995
Simulation 9	0.164776271954857	0.328853896921224
Simulation 17	0.170285979191429	0.327712306869322
Simulation 2	0.174054874718	0.34559700021682
Simulation 8	0.176442204795556	0.341341725109702
Simulation 19	0.178265031806061	0.3426802793947
Simulation 15	0.178505904	0.341922159797909
Simulation 7	0.179913925531	0.328511478320327
Simulation 13	0.18034297418	0.339947554417247
Simulation 14	0.189294390615	0.344046292711939
Simulation 12	0.1901198479625	0.339260925393012
Simulation 1	0.19153916964	0.334678245428519
Simulation 4	0.192646988023	0.344154962738723
Simulation 3	0.195991302686667	0.34936336794148
Simulation 20	0.19789269975	0.335684280945445
Simulation 6	0.20139903077	0.342200134935911
Simulation 10	0.2138154127	0.356272558687669
